ingredient,American,Chinese,Cuban,English,French,German,Greek,Hawaiian,Hungarian,Indian,Irish,Italian,Japanese,Mexican,Moroccan,Spanish,Swedish,Thai,total
cabbage,0.04,0.54,0.04,0.09,0.02,1.19,0.02,0.17,0.42,0.04,2.77,0.0,0.85,0.25,0.02,0.04,0.09,0.34,0.0034719176342944205
canola oil,0.29,0.69,0.25,0.19,0.26,0.64,0.07,0.23,0.37,0.37,0.24,0.07,0.66,0.3,0.09,0.07,0.17,0.43,0.0029640573420439066
carrot,0.5,0.95,0.22,1.71,1.76,1.09,0.14,0.34,0.97,0.33,5.14,0.23,1.46,0.06,1.43,0.34,0.16,1.07,0.009750917611209862
cayenne pepper,0.39,0.06,0.34,0.14,0.15,0.1,0.14,0.21,0.41,0.84,0.18,0.04,0.11,0.33,0.91,0.29,0.05,0.16,0.002954823518548443
celery,0.94,0.2,0.11,0.75,0.75,0.6,0.06,0.3,0.52,0.05,1.47,0.2,0.09,0.03,0.24,0.1,0.21,0.01,0.0033749624875920496
cheddar cheese,0.43,0.0,0.06,1.05,0.12,0.24,0.07,0.34,0.01,0.0,0.45,0.06,0.01,2.54,0.01,0.03,0.09,0.0,0.0028394007248551444
cheese,1.48,0.0,0.97,2.11,2.03,0.74,3.63,1.86,0.22,0.11,0.82,5.78,0.03,5.31,0.17,0.3,0.62,0.04,0.01412313303631201
chicken,1.46,3.74,1.23,0.62,2.44,0.69,2.42,4.09,2.41,2.34,0.31,2.02,2.48,3.47,2.36,2.51,0.34,3.12,0.0220134352131859
chicken broth,1.31,0.74,0.66,0.23,0.89,0.53,0.26,0.5,1.46,0.14,0.29,0.71,0.2,0.54,0.95,1.48,0.38,0.56,0.0066021837992566775
chicken stock,0.08,0.62,0.24,0.51,0.81,0.23,0.15,0.14,0.62,0.16,0.4,0.21,0.34,0.28,0.64,1.14,0.27,0.42,0.004224474249174727
chickpea,0.01,0.01,0.02,0.03,0.04,0.01,0.19,0.01,0.01,0.56,0.01,0.03,0.03,0.03,1.57,0.28,0.03,0.06,0.002137630139199889
chili,0.2,1.39,0.35,0.11,0.01,0.06,0.05,0.38,0.09,1.23,0.06,0.09,0.33,1.32,0.28,0.18,0.07,1.86,0.004990881599298229
chili powder,0.63,0.04,0.38,0.08,0.0,0.04,0.04,0.24,0.03,1.22,0.07,0.02,0.03,1.83,0.15,0.15,0.04,0.14,0.0030056095477734943
cilantro,0.5,0.37,2.15,0.02,0.01,0.01,0.05,0.88,0.01,2.26,0.05,0.05,0.36,3.02,2.13,0.41,0.01,2.77,0.009400032318382235
cinnamon,0.14,0.15,0.28,0.19,0.04,0.12,0.55,0.09,0.01,1.31,0.18,0.01,0.04,0.11,3.28,0.09,0.23,0.12,0.004824672776379879
clove,2.84,4.04,4.76,2.15,3.74,1.96,4.12,2.36,3.53,3.78,3.07,3.76,2.08,2.18,3.86,4.85,1.33,3.52,0.03342644105357926
coconut milk,0.03,0.01,0.06,0.01,0.03,0.01,0.0,0.36,0.03,1.25,0.01,0.01,0.04,0.0,0.05,0.01,0.11,3.28,0.00366121101595143
coriander,0.12,0.11,0.29,0.11,0.1,0.1,0.23,0.05,0.03,3.45,0.23,0.0,0.1,0.24,2.47,0.12,0.0,0.88,0.0061081742422493595
corn,0.47,0.75,0.2,0.21,0.07,0.09,0.06,0.34,0.09,0.08,0.14,0.05,0.34,3.3,0.03,0.07,0.03,0.22,0.0035504051340058637
cornstarch,0.33,3.19,0.08,0.31,0.17,0.28,0.03,1.41,0.37,0.11,0.34,0.02,0.57,0.03,0.01,0.05,0.24,0.36,0.0041552205729587476
cream,0.62,0.01,0.19,1.11,1.25,1.49,0.26,0.27,4.18,0.8,0.74,0.92,0.11,2.34,0.05,0.11,4.87,0.23,0.008993744084581824
cucumber,0.06,0.07,0.06,0.01,0.02,0.02,2.49,0.04,0.03,0.08,0.0,0.01,0.43,0.0,0.11,0.05,0.11,0.37,0.0026639580784413304
cumin,0.6,0.05,4.34,0.18,0.01,0.07,0.49,0.28,0.1,3.87,0.05,0.02,0.02,2.64,4.22,0.49,0.09,0.41,0.011256030840970474
curry,0.03,0.05,0.0,0.1,0.0,0.12,0.0,0.11,0.0,1.69,0.02,0.0,0.25,0.02,0.14,0.03,0.0,2.66,0.00366121101595143
dijon mustard,0.86,0.02,0.22,0.51,0.78,0.43,0.16,0.11,0.04,0.0,0.49,0.03,0.06,0.0,0.01,0.05,0.51,0.0,0.0021884161684249405
dill,0.2,0.0,0.62,0.12,0.07,0.41,1.52,0.01,0.47,0.01,0.06,0.04,0.01,0.0,0.03,0.0,0.68,0.0,0.002294605138622775
egg,0.38,0.75,0.18,1.33,1.1,1.64,0.44,0.38,0.39,0.08,0.27,0.83,1.08,0.16,0.17,0.34,1.43,0.45,0.005960433066321937
feta,0.11,0.0,0.0,0.01,0.1,0.01,4.19,0.02,0.04,0.0,0.0,0.07,0.0,0.09,0.1,0.02,0.0,0.0,0.003338027193610194
fish sauce,0.0,0.11,0.01,0.03,0.0,0.0,0.0,0.05,0.01,0.01,0.01,0.0,0.07,0.0,0.0,0.04,0.0,4.22,0.003273390429141947
flour,1.87,0.75,0.36,4.2,2.39,3.45,0.55,0.89,3.17,0.27,2.45,1.08,1.0,2.33,0.32,0.45,4.37,0.17,0.014658694799048915
garam masala,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,3.39,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0,0.002640873519702671
garlic,3.34,5.15,5.74,2.42,4.0,1.44,4.88,3.3,3.99,4.74,3.2,4.57,2.7,2.77,4.22,5.48,1.68,4.21,0.03905907338581223
garlic powder,0.58,0.35,0.49,0.29,0.08,0.23,0.57,0.79,0.27,0.08,0.16,0.6,0.1,0.64,0.2,0.16,0.58,0.09,0.0032272213116646274
ginger,0.3,4.59,0.11,0.14,0.04,0.39,0.03,2.64,0.03,4.56,0.13,0.0,4.05,0.03,2.77,0.07,0.54,2.49,0.014076963918834692
honey,0.28,1.13,0.17,0.13,0.16,0.17,0.22,1.21,0.04,0.11,0.18,0.09,0.77,0.1,0.83,0.08,0.15,0.43,0.0035273205752672037
kosher salt,0.6,0.33,1.06,0.85,1.17,0.68,0.93,0.4,0.67,0.53,0.58,0.98,0.65,0.67,0.91,0.92,0.75,0.4,0.007327038943650592
lamb,0.22,0.03,0.01,0.35,0.1,0.03,1.21,0.02,0.03,0.29,1.34,0.01,0.0,0.0,1.0,0.11,0.12,0.01,0.0030194602830166902
lemon,1.76,0.22,0.74,0.68,0.8,1.37,4.19,0.47,0.42,1.35,0.27,0.71,0.52,0.1,2.88,1.88,0.51,0.46,0.012179413190516863
lime,0.51,0.12,3.56,0.02,0.01,0.02,0.06,0.5,0.01,0.57,0.02,0.01,0.24,2.02,0.12,0.09,0.0,3.97,0.006939218356841109
masala,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.02,0.0,3.36,0.0,0.0,0.04,0.0,0.09,0.0,0.0,0.0,0.0026039382257208154
milk,0.81,0.03,0.2,2.5,0.77,1.11,0.47,0.77,0.27,1.38,0.89,0.71,0.13,0.25,0.11,0.14,3.2,3.23,0.0091784205544911
mint,0.18,0.02,0.36,0.1,0.03,0.01,1.1,0.01,0.0,0.31,0.05,0.02,0.03,0.01,0.86,0.03,0.0,0.5,0.002460813961541125
mirin,0.0,0.12,0.0,0.0,0.01,0.0,0.0,0.09,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.01,0.01,0.0027516794016482376
mozzarella cheese,0.09,0.0,0.04,0.19,0.18,0.1,0.15,1.04,0.01,0.02,0.03,3.24,0.01,0.3,0.02,0.01,0.01,0.01,0.0026593411666935986
mushroom,0.64,0.94,0.05,1.91,2.07,0.87,0.15,0.37,1.01,0.09,0.61,0.71,1.5,0.2,0.08,0.26,1.14,0.41,0.006740691151688636
mustard,1.45,0.07,0.75,1.36,1.03,1.85,0.22,0.57,0.5,0.71,1.44,0.07,0.18,0.03,0.02,0.08,0.88,0.02,0.005701886008448949
nutmeg,0.16,0.0,0.05,0.56,0.43,0.53,0.29,0.08,0.05,0.18,0.13,0.26,0.03,0.01,0.18,0.07,3.19,0.04,0.0028347838131074126
olive,0.27,0.11,1.39,0.45,1.1,0.19,2.6,0.44,0.34,0.23,0.34,1.33,0.19,0.82,1.76,1.83,0.36,0.11,0.008407396292619867
olive oil,2.64,0.51,3.7,2.28,3.89,1.06,4.89,1.15,1.91,0.94,1.85,4.96,0.58,1.78,4.14,5.54,1.33,0.59,0.025439183730003
onion,3.77,3.54,4.68,4.81,4.21,6.12,4.15,4.48,6.99,4.78,5.87,2.56,3.75,4.57,4.49,5.19,5.71,2.85,0.044793277776495305
oregano,0.61,0.0,3.4,0.2,0.25,0.11,4.15,0.23,0.08,0.0,0.13,1.23,0.0,0.95,0.11,0.57,0.19,0.0,0.007008472033057088
paprika,0.65,0.05,0.81,0.42,0.26,1.12,0.52,0.37,7.02,0.87,0.27,0.13,0.03,0.54,2.45,3.97,0.47,0.09,0.01081742422493594
parmesan cheese,0.38,0.01,0.03,0.4,0.4,0.14,0.33,0.13,0.03,0.0,0.2,4.54,0.01,0.04,0.02,0.05,0.2,0.01,0.0035273205752672037
parsley,1.58,0.02,0.53,1.22,2.36,1.69,1.57,0.26,1.4,0.16,2.37,2.21,0.11,0.13,1.85,3.28,2.56,0.06,0.012881183776172119
pasta,0.18,0.06,0.02,0.1,0.07,0.09,0.42,0.18,0.2,0.01,0.06,2.56,0.05,0.2,0.05,0.11,0.15,0.08,0.002386943373577414
pea,0.2,0.65,0.18,0.96,0.1,0.04,0.04,0.15,0.08,0.74,0.77,0.15,0.41,0.03,0.17,1.81,0.05,0.49,0.004238324984417923
pepper,6.73,4.25,5.75,5.61,5.64,5.94,5.11,5.04,6.2,2.75,4.72,5.18,2.5,4.02,4.25,5.43,5.79,3.48,0.04785429026524158
pineapple,0.09,0.16,0.24,0.01,0.0,0.02,0.0,7.97,0.0,0.02,0.02,0.0,0.05,0.07,0.01,0.01,0.0,0.19,0.0036104249867263787
pork,0.67,1.08,1.49,0.72,0.33,1.87,0.19,0.88,0.84,0.03,0.17,0.15,0.87,0.44,0.07,0.32,2.98,0.35,0.006412890417599668
potato,0.52,0.09,0.66,3.07,0.93,1.35,0.55,0.21,1.4,0.73,5.89,0.22,0.7,0.2,0.88,0.72,0.87,0.4,0.010018698492578314
rice,0.59,3.03,1.56,0.13,0.04,0.17,0.52,1.68,0.51,1.11,0.01,0.29,2.74,0.81,0.37,3.3,0.29,2.25,0.011399155105150166
rosemary,0.79,0.0,0.04,0.66,0.67,0.11,0.49,0.07,0.09,0.0,0.78,0.22,0.0,0.01,0.07,0.19,0.07,0.0,0.0023361573443523628
saffron,0.01,0.0,0.09,0.01,0.19,0.0,0.01,0.0,0.0,0.14,0.0,0.0,0.0,0.01,1.03,2.9,0.01,0.0,0.003134883076709989
sake,0.01,0.13,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.01,0.0,0.01,0.0021468639626953533
salt,6.45,3.24,5.59,6.01,5.84,6.05,5.08,3.76,6.29,5.28,4.95,4.96,3.02,3.41,4.61,4.7,6.09,2.03,0.04753572335464808
sausage,0.38,0.08,0.17,0.78,0.27,1.05,0.04,0.2,0.36,0.0,0.26,1.06,0.02,0.08,0.08,1.73,0.15,0.0,0.0036796786629423577
scallion,0.06,1.99,0.19,0.06,0.09,0.03,0.12,0.34,0.0,0.09,0.06,0.06,1.89,0.11,0.12,0.22,0.04,0.62,0.003508852928276276
sea salt,0.18,0.25,0.23,0.62,1.08,0.13,0.5,0.37,0.23,0.38,0.37,0.44,0.32,0.16,0.68,0.46,0.38,0.21,0.004044414691013181
sesame,0.08,1.38,0.01,0.01,0.01,0.06,0.01,0.45,0.01,0.04,0.01,0.0,2.3,0.03,0.11,0.0,0.0,0.31,0.0026593411666935986
sesame oil,0.05,3.53,0.0,0.01,0.0,0.0,0.0,0.9,0.0,0.04,0.0,0.01,2.07,0.01,0.01,0.0,0.0,0.55,0.004007479397031326
sesame seed,0.08,0.99,0.01,0.01,0.01,0.06,0.0,0.32,0.01,0.04,0.0,0.0,2.1,0.03,0.09,0.0,0.0,0.21,0.002169948521434013
shallot,0.68,0.21,0.09,0.68,1.33,0.12,0.17,0.02,0.1,0.14,0.09,0.21,0.31,0.03,0.18,0.26,0.13,1.01,0.0034626838107989564
shrimp,0.64,0.57,0.17,0.0,0.18,0.03,0.29,0.15,0.0,0.17,0.0,0.34,0.39,0.22,0.09,2.08,0.01,0.99,0.004016713220526789
sour cream,0.34,0.01,0.14,0.22,0.18,0.94,0.12,0.13,4.05,0.06,0.27,0.07,0.01,2.28,0.03,0.03,2.28,0.01,0.004829289688127612
soy sauce,0.18,6.53,0.23,0.12,0.01,0.01,0.01,4.22,0.04,0.03,0.14,0.01,6.33,0.03,0.04,0.03,0.5,2.53,0.011283732311456867
spinach,0.16,0.08,0.05,0.19,0.21,0.02,1.17,0.09,0.05,0.46,0.07,0.85,0.33,0.1,0.15,0.13,0.01,0.2,0.0026731919019367945
steak,0.84,0.54,0.82,0.87,0.31,0.45,0.16,0.43,0.51,0.03,0.29,0.07,0.56,0.32,0.15,0.1,0.21,0.26,0.0035550220457535955
sugar,1.36,4.01,0.63,0.45,0.46,2.43,0.26,3.81,0.73,0.68,1.28,0.53,4.61,0.29,0.32,0.27,0.98,3.58,0.014395530829428195
thyme,1.63,0.02,0.23,1.92,3.89,0.6,0.73,0.06,0.69,0.03,2.62,0.34,0.02,0.04,0.15,0.7,0.27,0.01,0.007604053648514509
tomato,1.41,0.14,1.59,1.07,1.74,0.36,3.75,0.96,2.79,3.53,0.57,2.91,0.11,2.68,2.49,4.03,0.11,0.41,0.018379925667720863
tomato paste,0.25,0.08,0.54,0.55,0.78,0.33,0.26,0.2,1.5,0.69,1.12,0.43,0.07,0.19,0.59,0.43,0.11,0.05,0.004376832336849881
tortilla,0.17,0.03,0.19,0.04,0.0,0.03,0.16,0.32,0.01,0.03,0.05,0.02,0.01,4.6,0.01,0.0,0.0,0.11,0.003111798517971329
turmeric,0.0,0.03,0.08,0.05,0.01,0.01,0.03,0.0,0.01,3.66,0.0,0.01,0.03,0.01,2.07,0.47,0.01,0.35,0.005046284540271013
vegetable oil,0.97,1.92,0.7,0.8,0.34,1.35,0.08,0.52,0.95,0.97,0.78,0.12,1.63,0.58,0.18,0.14,0.64,1.29,0.007580969089775849
water,1.34,3.19,1.24,1.95,1.27,2.75,0.74,1.76,2.55,1.77,2.33,1.12,2.56,1.09,1.39,1.23,1.77,1.45,0.016957916849419424
worcestershire sauce,0.79,0.05,0.09,1.29,0.16,0.23,0.04,0.5,0.64,0.0,0.89,0.07,0.22,0.11,0.01,0.06,1.29,0.03,0.002927122048062051
yogurt,0.08,0.0,0.01,0.12,0.03,0.04,2.36,0.04,0.38,1.94,0.08,0.02,0.0,0.23,0.49,0.03,0.08,0.01,0.004039797779265449
zest,0.11,0.24,0.65,0.13,0.26,0.09,0.98,0.13,0.06,0.06,0.04,0.16,0.14,0.18,0.61,0.28,0.11,0.44,0.002885569842332464
